,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
120,279,400,448,567,474,511,400,179,96,1659,1695,0,1880,1370,104,85,368,2901,1996,0,217,224,317,180,141,279,40,884,957,17,1456,321,988,1805,85,155,2594,116,644,355,2999,105,168,1517,206,1160,77,91,30,2465,889,880,237,816,149,1272
121,190,893,1025,1074,879,636,437,71,98,2580,2723,0,3435,1635,233,95,1271,3937,3219,82,379,669,482,175,107,190,137,907,1933,0,2326,420,1751,2759,265,108,3940,136,1227,193,5110,111,104,2272,188,2224,48,337,19,3839,1464,974,125,1340,191,2673
122,919,759,980,997,1169,932,652,667,266,3982,3359,17,4145,3028,151,116,517,6708,4430,35,317,416,485,614,125,919,81,1586,1352,34,4288,648,2918,3459,79,237,5362,189,1790,483,6858,321,303,3271,484,2536,64,292,70,6180,1161,1551,633,633,814,3710
123,399,386,521,517,538,462,590,171,136,1855,1865,0,2068,1594,58,17,223,3480,2331,23,146,89,233,179,75,644,119,892,311,25,2373,292,1700,1470,105,153,2797,220,703,250,3470,153,110,1636,289,1226,111,155,40,3504,216,1020,252,49,149,2250
124,389,538,1025,1292,865,840,587,222,25,2821,2962,8,3685,1864,226,232,1204,4347,3620,161,388,459,491,218,57,389,40,1560,1972,29,2182,339,1914,3188,192,150,4178,354,1251,435,5348,113,73,2581,350,2222,164,245,35,4416,1367,782,2004,399,240,2358
125,1084,869,1013,1494,1186,1259,641,396,49,3870,4121,182,4915,2763,131,79,911,7001,3958,96,842,440,449,473,397,1336,136,1530,1693,19,4613,646,3065,3925,238,117,6441,266,1284,381,7610,682,201,3057,365,3100,151,377,58,6399,1592,1252,2029,110,705,3895
126,693,686,671,855,1001,551,491,326,138,3071,2341,0,2820,2381,211,52,716,4644,3908,6,220,135,300,100,50,693,80,1185,1141,21,2985,364,1776,2945,146,181,3849,222,1341,323,5089,244,103,2832,161,1855,103,109,5,4335,1077,804,1365,1066,173,2004
127,657,478,614,1268,672,856,670,298,173,3107,2579,0,2932,2591,163,147,774,4765,3697,10,104,123,483,229,129,911,91,1406,1786,22,2381,444,2159,2706,182,195,4346,448,892,447,5239,371,171,2748,328,1780,80,187,21,4398,1288,1054,1456,89,218,2869
128,152,183,241,474,371,425,509,274,226,1531,1324,0,1463,1343,49,58,192,2605,1748,0,48,134,182,131,72,540,108,959,439,38,1311,270,976,1214,35,360,2425,140,290,366,2489,284,77,1388,164,749,68,120,5,2548,307,184,893,27,192,1559
129,572,616,215,303,825,789,539,369,125,2191,2162,35,2201,1989,128,49,227,4077,2715,0,46,59,109,81,56,1287,50,896,315,8,3084,121,2535,1539,35,123,3107,389,857,337,4016,284,145,2137,195,1263,144,153,32,4233,120,967,81,50,173,3082
