SERIALNO,AGE,SEX,EMPLOYMENT,MOBILITY,INCOME,CITIZENSHIP,MARITAL_STATUS,SCHOOLING,DISABILITY,WORK,INSURANCE,RACE
2018HU0281612,29,2,1,1,31200,1,5,1,2,2,1,6
2018HU0281612,27,1,1,1,45000,1,5,1,2,1,2,6
2018HU0285509,38,1,1,1,128000,1,1,1,2,5,1,1
2018HU0285509,37,2,6,1,0,1,1,1,2,,1,1
2018HU0285509,9,1,,1,,1,5,3,2,,1,1
2018HU0285738,65,2,6,1,0,1,2,1,1,,1,1
2018HU0293011,55,2,6,1,0,1,1,1,2,,1,1
2018HU0293011,58,1,1,1,0,1,1,1,2,6,1,1
2018HU0293011,13,1,,1,,1,5,3,2,,1,2
2018HU0294457,78,1,6,1,0,1,1,1,2,,1,1
2018HU0294457,77,2,6,1,0,1,1,1,1,,1,1
2018HU0296428,50,2,1,1,100000,4,4,1,2,5,1,6
2018HU0296428,65,1,6,1,0,1,3,1,2,5,1,1
2018HU0300334,36,1,1,3,45000,5,5,1,2,1,2,8
2018HU0300334,27,2,1,3,8000,5,5,1,2,1,1,8
2018HU0300334,56,2,1,3,15000,5,5,1,2,1,2,8
2018HU0300334,39,1,1,1,22000,5,5,1,2,1,2,8
2018HU0300334,13,2,,1,,1,5,2,2,,1,8
2018HU0302934,40,1,1,1,0,1,5,1,2,6,1,1
2018HU0302934,67,1,6,1,0,1,3,1,2,6,1,1
2018HU0306728,59,1,1,1,117000,1,1,1,2,2,1,1
2018HU0306728,59,2,6,1,0,1,1,1,2,,1,1
2018HU0306728,12,1,,1,,1,5,2,2,,1,1
2018HU0306728,16,2,6,1,0,3,5,2,2,,1,1
2018HU0309146,44,2,1,1,16000,5,4,1,2,1,2,8
2018HU0311265,52,2,1,1,12000,5,5,1,2,1,1,6
2018HU0311265,80,1,6,1,0,4,1,1,1,1,1,6
2018HU0311265,76,2,6,1,0,4,1,1,1,,1,6
2018HU0316865,38,2,1,1,80000,1,1,1,2,2,1,1
2018HU0316865,40,1,1,1,80000,1,1,1,2,3,1,1
2018HU0320510,39,1,1,1,38000,1,5,1,2,1,2,2
2018HU0320510,9,1,,1,,1,5,2,2,,1,2
2018HU0321752,83,2,6,1,0,1,2,2,1,,1,1
2018HU0322381,47,1,1,1,95000,1,1,1,1,5,1,1
2018HU0322381,48,2,1,1,114000,1,1,1,2,5,1,1
2018HU0322381,15,2,,1,0,1,5,3,2,,1,1
2018HU0322783,52,2,1,1,33000,5,1,1,2,1,1,1
2018HU0322783,61,1,1,1,130000,4,1,1,2,1,1,1
2018HU0322783,19,1,1,1,8200,4,5,2,2,1,1,1
2018HU0322783,17,1,6,1,0,4,5,2,2,,1,1
2018HU0324663,30,1,1,3,550,5,1,1,2,6,1,9
2018HU0324663,26,2,6,3,0,5,1,1,2,,1,9
2018HU0324663,5,2,,3,,5,5,2,2,,1,9
2018HU0327636,66,2,3,1,2600,5,3,1,2,1,2,2
2018HU0329231,61,1,6,1,0,1,3,1,1,1,1,1
2018HU0332045,23,1,6,3,0,1,5,3,2,1,1,6
2018HU0332045,23,1,1,3,5000,4,5,3,2,1,1,6
2018HU0336145,26,1,1,1,55000,1,1,2,2,1,1,1
2018HU0336145,28,2,6,1,0,1,1,1,2,1,1,1
2018HU0336145,5,2,,1,,1,5,1,2,,1,1
2018HU0336145,2,1,,1,,1,5,,2,,1,1
2018HU0340143,58,1,1,1,25500,5,1,1,2,1,1,6
2018HU0340143,55,2,6,1,0,5,1,1,2,1,1,6
2018HU0341464,74,2,6,1,0,1,1,1,2,,1,1
2018HU0341464,76,1,6,1,0,1,1,1,2,,1,1
2018HU0343503,87,2,6,1,0,1,2,1,1,,1,2
2018HU0344945,63,1,1,1,15000,5,1,1,2,1,1,6
2018HU0344945,57,2,1,1,24000,4,1,1,2,1,1,6
2018HU0347656,42,2,1,1,67000,4,4,1,2,1,1,9
2018HU0347656,19,2,1,1,5000,4,5,1,2,1,2,1
2018HU0347656,18,2,6,1,0,4,5,2,2,,1,1
2018HU0347656,13,1,,1,,1,5,2,2,,1,1
2018HU0347656,11,2,,1,,1,5,2,2,,1,1
2018HU0347656,2,2,,1,,1,5,,2,,1,1
2018HU0347974,39,2,1,3,36000,1,1,1,2,2,1,1
2018HU0347974,43,1,1,3,55000,4,1,1,2,1,1,1
2018HU0347974,7,1,,3,,1,5,2,2,,1,1
2018HU0347974,3,1,,3,,1,5,3,2,,1,1
2018HU0348422,51,1,1,1,250000,1,1,1,2,7,1,1
2018HU0348422,49,2,1,1,10000,1,1,1,2,5,1,1
2018HU0348422,17,2,6,1,0,1,5,2,2,,1,1
2018HU0348422,17,2,6,1,0,1,5,2,2,,1,1
2018HU0348422,15,1,,1,0,1,5,2,2,,1,1
2018HU0349761,71,1,1,1,0,4,5,1,2,6,1,9
2018HU0349761,68,2,1,1,32400,4,5,1,2,1,1,9
2018HU0349761,66,1,6,1,0,4,5,1,2,,1,9
2018HU0349761,66,1,1,1,0,4,3,1,2,6,1,9
2018HU0349761,62,1,1,1,0,4,5,1,2,6,1,9
2018HU0349761,59,1,1,1,0,4,5,1,2,6,2,9
2018HU0351981,51,1,2,1,48000,4,1,1,2,1,1,8
2018HU0351981,53,2,1,1,203000,1,1,1,2,1,1,1
2018HU0351993,78,1,6,1,0,1,1,1,2,,1,1
2018HU0351993,75,2,6,1,0,1,1,1,2,4,1,1
2018HU0354436,59,2,1,1,48500,1,1,1,1,1,1,2
2018HU0354436,60,1,1,1,82000,1,1,1,2,1,1,2
2018HU0354436,22,1,1,1,8000,1,5,2,2,3,1,2
2018HU0354436,22,2,6,1,5000,1,5,2,2,3,1,2
2018HU0358923,53,2,6,1,68000,1,4,1,2,1,1,1
2018HU0358923,14,1,,1,,1,5,3,2,,1,1
2018HU0359179,52,2,1,1,80000,4,3,1,2,7,1,1
2018HU0359179,25,2,1,1,12000,1,5,1,2,1,1,1
