,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
89,188,2715,2916,464,444,398,395,112,38,3563,4107,26,3122,3823,699,141,1704,5825,6744,19,69,82,78,129,36,513,205,521,657,14,6273,193,1236,6086,67,88,2357,231,5082,323,7347,146,193,4532,526,1805,18,77,373,6288,1382,971,1344,196,245,4914
90,422,439,441,368,456,403,363,156,68,1593,1523,0,1729,1312,75,47,468,2601,1880,8,105,136,148,190,64,585,39,525,395,17,2140,110,1440,1410,32,124,2247,142,727,260,2856,136,154,1365,101,1148,70,129,13,2795,321,578,86,112,252,2088
91,259,499,216,237,453,492,450,274,136,1478,1538,29,1596,1348,43,91,119,2806,1841,3,62,37,173,127,83,690,50,477,186,0,2303,136,1644,1055,48,133,2128,96,792,249,2767,271,120,1393,217,817,53,114,31,2897,119,606,91,32,91,2196
92,837,816,456,677,667,786,714,442,281,2906,2770,43,2740,2783,110,51,642,4983,3709,47,72,79,196,208,74,1291,147,722,326,32,4449,229,2925,2336,15,171,3988,348,1340,339,5337,433,221,2889,347,1369,179,151,87,5206,470,860,133,54,151,4478
93,540,969,394,635,881,937,942,442,394,3008,3126,71,3193,2686,184,110,430,5594,3908,40,24,51,190,320,46,1555,167,1013,494,62,4398,318,3251,2218,35,312,4611,232,1291,638,5496,511,278,2874,190,1904,42,292,43,5627,507,1073,234,72,31,4724
94,591,399,994,1072,664,815,364,179,91,2398,2771,0,3446,1600,123,29,1292,3848,2548,55,192,111,382,384,230,1267,48,667,1459,25,2970,416,2050,2492,104,107,4099,200,870,254,4915,492,231,1681,259,2188,71,184,63,4199,970,1551,213,637,183,2585
95,555,576,710,841,641,377,368,176,133,2220,2157,45,2434,1783,115,150,262,3965,2616,10,353,323,208,182,93,592,0,687,1038,29,2623,349,1365,2504,21,138,3095,112,1170,366,4011,201,105,1918,414,1386,128,195,30,3281,1096,444,605,593,126,2609
96,845,341,786,749,757,571,542,111,74,2298,2478,9,2846,1811,110,35,503,4238,2680,33,120,167,301,231,161,1083,103,893,631,15,3134,355,2123,2136,93,69,3653,272,851,261,4515,302,201,1906,340,1737,81,168,41,4138,638,686,355,770,205,2760
97,318,422,173,406,459,468,345,128,64,1493,1290,0,1507,1194,82,3,303,2477,1648,24,38,41,89,132,43,768,124,471,178,47,1963,163,1379,1066,61,114,2088,149,546,209,2574,209,53,1259,143,849,125,130,15,2549,234,429,38,182,121,2013
98,284,359,470,453,435,477,301,228,128,1457,1678,11,1843,1188,93,8,174,2953,1696,52,142,168,271,231,169,406,91,772,618,0,1654,146,1370,1433,0,186,2427,121,587,216,2919,114,82,1279,163,1329,42,126,0,2731,404,649,24,393,93,1976
99,501,441,366,663,651,751,475,274,113,2059,2176,15,2450,1705,65,17,240,3978,2435,0,76,223,357,160,102,882,61,806,638,9,2721,373,1995,1704,17,146,3188,304,743,350,3885,322,139,1765,413,1288,68,202,38,3808,427,1099,56,265,136,2679
100,630,453,774,849,765,564,363,211,77,2304,2382,16,2779,1687,204,122,591,3973,2418,83,335,318,444,139,196,753,57,800,1388,24,2417,367,1639,2422,144,114,3627,147,912,274,4412,252,96,1891,387,1723,67,257,13,3962,724,914,326,814,164,2468
101,387,248,420,416,314,542,336,193,81,1412,1525,6,1702,1182,47,43,231,2663,1700,12,81,138,166,106,79,655,52,823,269,5,1788,211,1307,1319,57,43,2275,201,461,141,2796,203,123,1219,118,1042,59,129,44,2698,239,813,179,118,132,1695
102,767,513,973,1167,392,388,333,101,138,2061,2711,35,2797,1840,100,199,586,3987,2636,107,617,342,292,171,58,549,94,922,1748,24,1984,169,1281,3039,80,203,3748,207,817,315,4457,170,74,1963,165,2079,87,207,27,3180,1592,629,447,1533,325,1838
103,353,380,367,343,467,595,506,211,225,1766,1681,0,1774,1578,95,85,241,3121,2217,5,83,141,166,156,73,606,51,744,452,24,2176,213,1625,1453,16,140,2578,157,712,365,3082,312,116,1656,96,972,119,176,0,3222,225,933,180,71,161,2102
104,212,113,238,228,198,279,221,153,59,816,885,17,1003,668,13,22,173,1506,872,30,47,7,58,158,52,477,43,344,63,12,1239,79,905,675,13,29,1293,53,355,117,1584,135,75,676,95,551,84,55,30,1657,44,215,56,71,48,1311
105,273,285,187,401,328,455,407,119,203,1307,1351,6,1393,1152,107,8,376,2274,1476,26,79,132,107,206,71,561,48,470,122,0,2018,228,1231,1018,17,164,2007,107,544,202,2456,184,77,1259,187,731,56,125,39,2286,372,392,111,89,74,1992
106,278,274,161,303,270,315,384,246,91,1196,1126,7,1228,1067,20,0,86,2236,1495,5,16,20,107,69,50,560,32,418,193,0,1679,179,1209,812,3,119,1819,107,396,182,2140,152,34,1097,140,638,30,178,53,2179,143,259,89,191,177,1606
107,121,259,140,81,271,238,291,148,95,813,831,7,767,852,18,0,130,1514,1063,6,22,58,51,50,7,387,26,238,156,16,1208,76,869,592,13,94,1218,170,256,107,1537,145,20,857,69,406,75,55,17,1583,61,145,59,19,21,1400
108,249,363,216,269,456,454,243,157,103,1293,1217,8,1354,1085,63,27,168,2315,1491,0,71,34,56,154,40,664,105,395,223,43,1744,161,1167,1062,31,89,1916,191,403,174,2336,176,84,1130,147,751,88,87,47,2437,73,341,55,3,133,1978
